    E              f1 
   keV           e atom-1
1.069000E-02  1.80913E+00
1.142761E-02  1.37655E+00
1.221612E-02  9.65328E-01
1.305903E-02  6.24303E-01
1.396010E-02  4.11793E-01
1.492335E-02  3.94079E-01
1.595306E-02  6.39962E-01
1.705382E-02  1.21194E+00
1.823053E-02  2.15504E+00
1.948844E-02  3.48533E+00
2.083314E-02  5.25490E+00
2.227063E-02  7.25321E+00
2.380730E-02  9.45427E+00
2.545001E-02  1.17727E+01
2.720606E-02  1.39985E+01
2.908327E-02  1.60474E+01
3.109002E-02  1.78149E+01
3.323523E-02  1.92362E+01
3.552846E-02  2.02840E+01
3.797993E-02  2.09586E+01
4.060054E-02  2.12841E+01
4.340198E-02  2.12906E+01
4.639671E-02  2.09863E+01
4.959809E-02  2.02798E+01
5.262600E-02  1.86073E+01
5.302035E-02  1.80425E+01
5.343150E-02  1.68898E+01
5.364630E-02  1.48645E+01
5.396850E-02  1.69775E+01
5.477400E-02  1.87833E+01
5.667876E-02  2.00123E+01
6.058959E-02  2.06579E+01
6.477028E-02  2.05746E+01
6.923942E-02  1.98937E+01
7.026600E-02  1.95410E+01
7.134150E-02  1.86908E+01
7.162830E-02  1.77435E+01
7.205850E-02  1.86642E+01
7.313400E-02  1.94156E+01
7.401695E-02  1.96412E+01
7.912411E-02  1.98939E+01
8.114400E-02  1.97664E+01
8.238600E-02  1.94939E+01
8.271720E-02  1.91793E+01
8.321400E-02  1.94857E+01
8.445600E-02  1.97029E+01
8.458368E-02  1.97089E+01
8.467200E-02  1.97120E+01
8.596800E-02  1.96317E+01
8.631360E-02  1.94433E+01
8.683200E-02  1.96712E+01
8.812800E-02  1.98761E+01
9.041995E-02  1.99742E+01
9.665893E-02  1.98306E+01
1.033284E-01  1.94054E+01
1.056440E-01  1.92152E+01
1.072610E-01  1.90492E+01
1.076922E-01  1.89666E+01
1.083390E-01  1.89635E+01
1.099560E-01  1.88743E+01
1.104581E-01  1.88392E+01
1.180797E-01  1.82190E+01
1.262272E-01  1.74805E+01
1.349368E-01  1.66550E+01
1.442475E-01  1.57662E+01
1.542005E-01  1.48392E+01
1.648404E-01  1.39200E+01
1.762144E-01  1.30583E+01
1.883732E-01  1.23320E+01
2.013709E-01  1.18252E+01
2.152655E-01  1.16285E+01
2.301188E-01  1.18101E+01
2.459970E-01  1.24275E+01
2.629708E-01  1.35101E+01
2.811158E-01  1.50151E+01
3.005128E-01  1.68766E+01
3.212482E-01  1.89208E+01
3.272220E-01  1.94424E+01
3.322305E-01  1.97143E+01
3.335661E-01  1.95627E+01
3.355695E-01  2.00379E+01
3.405780E-01  2.07741E+01
3.434143E-01  2.11074E+01
3.449600E-01  2.12760E+01
3.502400E-01  2.17325E+01
3.516480E-01  2.16840E+01
3.537600E-01  2.21370E+01
3.590400E-01  2.29277E+01
3.671099E-01  2.39458E+01
3.924405E-01  2.68316E+01
4.195189E-01  2.95822E+01
4.484657E-01  3.21468E+01
4.794098E-01  3.44526E+01
5.0000000E-01  3.68596E+01
5.0250000E-01  3.69982E+01
5.0501250E-01  3.71334E+01
5.0753756E-01  3.72650E+01
5.1007525E-01  3.73927E+01
5.1262563E-01  3.75160E+01
5.1518875E-01  3.76344E+01
5.1776470E-01  3.77473E+01
5.2035352E-01  3.78538E+01
5.2295529E-01  3.79528E+01
5.2557007E-01  3.80427E+01
5.2819792E-01  3.81212E+01
5.3083891E-01  3.81850E+01
5.3349310E-01  3.82285E+01
5.3616057E-01  3.82419E+01
5.3884137E-01  3.82052E+01
5.4153558E-01  3.80654E+01
5.4424325E-01  3.75543E+01
5.4469646E-01  3.73074E+01
5.4610359E-01  3.73821E+01
5.4696447E-01  3.78633E+01
5.4969929E-01  3.85583E+01
5.5244779E-01  3.89711E+01
5.5521003E-01  3.92936E+01
5.5798608E-01  3.95706E+01
5.6077601E-01  3.98197E+01
5.6357989E-01  4.00498E+01
5.6639779E-01  4.02659E+01
5.6922978E-01  4.04711E+01
5.7207593E-01  4.06676E+01
5.7493630E-01  4.08568E+01
5.7781099E-01  4.10397E+01
5.8070004E-01  4.12172E+01
5.8360354E-01  4.13899E+01
5.8652156E-01  4.15581E+01
5.8945417E-01  4.17223E+01
5.9240144E-01  4.18828E+01
5.9536345E-01  4.20397E+01
5.9834026E-01  4.21933E+01
6.0133196E-01  4.23436E+01
6.0433862E-01  4.24907E+01
6.0736032E-01  4.26347E+01
6.1039712E-01  4.27755E+01
6.1344910E-01  4.29130E+01
6.1651635E-01  4.30471E+01
6.1959893E-01  4.31775E+01
6.2269693E-01  4.33038E+01
6.2581041E-01  4.34254E+01
6.2893946E-01  4.35413E+01
6.3208416E-01  4.36495E+01
6.3524458E-01  4.37464E+01
6.3842080E-01  4.38227E+01
6.4161291E-01  4.38414E+01
6.4278595E-01  4.37886E+01
6.4461406E-01  4.38618E+01
6.4482097E-01  4.38949E+01
6.4804508E-01  4.41878E+01
6.5128530E-01  4.43826E+01
6.5454173E-01  4.45518E+01
6.5781444E-01  4.47084E+01
6.6110351E-01  4.48569E+01
6.6440903E-01  4.49998E+01
6.6773107E-01  4.51382E+01
6.7106973E-01  4.52729E+01
6.7442508E-01  4.54044E+01
6.7779720E-01  4.55331E+01
6.8118619E-01  4.56593E+01
6.8459212E-01  4.57830E+01
6.8801508E-01  4.59045E+01
6.9145515E-01  4.60238E+01
6.9491243E-01  4.61409E+01
6.9838699E-01  4.62559E+01
7.0187893E-01  4.63689E+01
7.0538832E-01  4.64797E+01
7.0891526E-01  4.65884E+01
7.1245984E-01  4.66948E+01
7.1602214E-01  4.67990E+01
7.1960225E-01  4.69006E+01
7.2320026E-01  4.69995E+01
7.2681626E-01  4.70954E+01
7.3045034E-01  4.71878E+01
7.3410260E-01  4.72762E+01
7.3777311E-01  4.73596E+01
7.4146197E-01  4.74364E+01
7.4516928E-01  4.75040E+01
7.4889513E-01  4.75571E+01
7.5263961E-01  4.75825E+01
7.5640280E-01  4.75268E+01
7.5759354E-01  4.74426E+01
7.6000652E-01  4.75088E+01
7.6018482E-01  4.75372E+01
7.6398574E-01  4.78657E+01
7.6780567E-01  4.80626E+01
7.7164470E-01  4.82251E+01
7.7550292E-01  4.83711E+01
7.7938044E-01  4.85071E+01
7.8327734E-01  4.86363E+01
7.8719373E-01  4.87605E+01
7.9112969E-01  4.88808E+01
7.9508534E-01  4.89978E+01
7.9906077E-01  4.91121E+01
8.0305607E-01  4.92241E+01
8.0707135E-01  4.93341E+01
8.1110671E-01  4.94422E+01
8.1516224E-01  4.95487E+01
8.1923806E-01  4.96537E+01
8.2333425E-01  4.97573E+01
8.2745092E-01  4.98596E+01
8.3158817E-01  4.99607E+01
8.3574611E-01  5.00607E+01
8.3992484E-01  5.01597E+01
8.4412447E-01  5.02577E+01
8.4834509E-01  5.03547E+01
8.5258682E-01  5.04508E+01
8.5684975E-01  5.05461E+01
8.6113400E-01  5.06405E+01
8.6543967E-01  5.07342E+01
8.6976687E-01  5.08271E+01
8.7411570E-01  5.09193E+01
8.7848628E-01  5.10108E+01
8.8287871E-01  5.11017E+01
8.8729310E-01  5.11919E+01
8.9172957E-01  5.12816E+01
8.9618822E-01  5.13708E+01
9.0066916E-01  5.14595E+01
9.0517250E-01  5.15477E+01
9.0969837E-01  5.16355E+01
9.1424686E-01  5.17230E+01
9.1881809E-01  5.18101E+01
9.2341218E-01  5.18970E+01
9.2802924E-01  5.19834E+01
9.3266939E-01  5.20696E+01
9.3733274E-01  5.21555E+01
9.4201940E-01  5.22412E+01
9.4672950E-01  5.23267E+01
9.5146315E-01  5.24122E+01
9.5622046E-01  5.24977E+01
9.6100156E-01  5.25833E+01
9.6580657E-01  5.26691E+01
9.7063560E-01  5.27551E+01
9.7548878E-01  5.28415E+01
9.8036623E-01  5.29284E+01
9.8526806E-01  5.30160E+01
9.9019440E-01  5.31045E+01
9.9514537E-01  5.31943E+01
1.0001211E+00  5.32862E+01
1.0051217E+00  5.33772E+01
1.0101473E+00  5.34425E+01
1.0151980E+00  5.35046E+01
1.0202740E+00  5.35648E+01
1.0253754E+00  5.36233E+01
1.0305023E+00  5.36804E+01
1.0356548E+00  5.37361E+01
1.0408331E+00  5.37905E+01
1.0460372E+00  5.38437E+01
1.0512674E+00  5.38957E+01
1.0565238E+00  5.39595E+01
1.0618064E+00  5.40092E+01
1.0671154E+00  5.40578E+01
1.0724510E+00  5.41054E+01
1.0778132E+00  5.41518E+01
1.0832023E+00  5.41973E+01
1.0886183E+00  5.42417E+01
1.0940614E+00  5.42850E+01
1.0995317E+00  5.43271E+01
1.1050294E+00  5.43681E+01
1.1105545E+00  5.44080E+01
1.1161073E+00  5.44468E+01
1.1216878E+00  5.44846E+01
1.1272963E+00  5.45214E+01
1.1329328E+00  5.45571E+01
1.1385974E+00  5.45918E+01
1.1442904E+00  5.46255E+01
1.1500119E+00  5.46582E+01
1.1557619E+00  5.46899E+01
1.1615407E+00  5.47207E+01
1.1673484E+00  5.47505E+01
1.1731852E+00  5.47793E+01
1.1790511E+00  5.48073E+01
1.1849464E+00  5.48343E+01
1.1908711E+00  5.48604E+01
1.1968254E+00  5.48856E+01
1.2028096E+00  5.49100E+01
1.2088236E+00  5.49334E+01
1.2148677E+00  5.49560E+01
1.2209421E+00  5.49777E+01
1.2270468E+00  5.49986E+01
1.2331820E+00  5.50186E+01
1.2393479E+00  5.50378E+01
1.2455447E+00  5.50562E+01
1.2517724E+00  5.50738E+01
1.2580312E+00  5.50906E+01
1.2643214E+00  5.51066E+01
1.2706430E+00  5.51219E+01
1.2769962E+00  5.51364E+01
1.2833812E+00  5.51502E+01
1.2897981E+00  5.51631E+01
1.2962471E+00  5.51753E+01
1.3027283E+00  5.51866E+01
1.3092420E+00  5.51972E+01
1.3157882E+00  5.52070E+01
1.3223671E+00  5.52161E+01
1.3289790E+00  5.52245E+01
1.3356239E+00  5.52322E+01
1.3423020E+00  5.52388E+01
1.3490135E+00  5.52440E+01
1.3557586E+00  5.52479E+01
1.3625374E+00  5.52505E+01
1.3693500E+00  5.52518E+01
1.3761968E+00  5.52518E+01
1.3830778E+00  5.52505E+01
1.3899932E+00  5.52480E+01
1.3969431E+00  5.52443E+01
1.4039278E+00  5.52394E+01
1.4109475E+00  5.52333E+01
1.4180022E+00  5.52256E+01
1.4250922E+00  5.52163E+01
1.4322177E+00  5.52055E+01
1.4393788E+00  5.51930E+01
1.4465757E+00  5.51790E+01
1.4538086E+00  5.51634E+01
1.4610776E+00  5.51463E+01
1.4683830E+00  5.51277E+01
1.4757249E+00  5.51075E+01
1.4831035E+00  5.50857E+01
1.4905190E+00  5.50624E+01
1.4979716E+00  5.50376E+01
1.5054615E+00  5.50112E+01
1.5129888E+00  5.49832E+01
1.5205537E+00  5.49537E+01
1.5281565E+00  5.49226E+01
1.5357973E+00  5.48898E+01
1.5434763E+00  5.48555E+01
1.5511937E+00  5.48194E+01
1.5589496E+00  5.47818E+01
1.5667444E+00  5.47424E+01
1.5745781E+00  5.47010E+01
1.5824510E+00  5.46577E+01
1.5903633E+00  5.46123E+01
1.5983151E+00  5.45649E+01
1.6063066E+00  5.45154E+01
1.6143382E+00  5.44639E+01
1.6224099E+00  5.44102E+01
1.6305219E+00  5.43544E+01
1.6386745E+00  5.43040E+01
1.6468679E+00  5.42434E+01
1.6551022E+00  5.41804E+01
1.6633777E+00  5.41148E+01
1.6716946E+00  5.40467E+01
1.6800531E+00  5.39759E+01
1.6884534E+00  5.39024E+01
1.6968956E+00  5.38261E+01
1.7053801E+00  5.37470E+01
1.7139070E+00  5.36650E+01
1.7224766E+00  5.35799E+01
1.7310889E+00  5.34918E+01
1.7397444E+00  5.34004E+01
1.7484431E+00  5.33057E+01
1.7571853E+00  5.32076E+01
1.7659712E+00  5.31060E+01
1.7748011E+00  5.30006E+01
1.7836751E+00  5.28914E+01
1.7925935E+00  5.27782E+01
1.8015565E+00  5.26608E+01
