E              f2 
   keV           e atom-1
1.069000E-02  2.9953E+00
1.142761E-02  3.6048E+00
1.221612E-02  4.4060E+00
1.305903E-02  5.4098E+00
1.396010E-02  6.6185E+00
1.492335E-02  8.0179E+00
1.595306E-02  9.5717E+00
1.705382E-02  1.1217E+01
1.823053E-02  1.2867E+01
1.948844E-02  1.4413E+01
2.083314E-02  1.5740E+01
2.227063E-02  1.6739E+01
2.380730E-02  1.7327E+01
2.545001E-02  1.7457E+01
2.720606E-02  1.7130E+01
2.908327E-02  1.6382E+01
3.109002E-02  1.5290E+01
3.323523E-02  1.3958E+01
3.552846E-02  1.2491E+01
3.797993E-02  1.0985E+01
4.060054E-02  9.5236E+00
4.340198E-02  8.1647E+00
4.639671E-02  6.9419E+00
4.959809E-02  5.8697E+00
5.262600E-02  5.0440E+00
5.302035E-02  4.9482E+00
5.343150E-02  4.8509E+00
5.364630E-02  4.8011E+00
5.396850E-02  8.6930E+00
5.477400E-02  8.3716E+00
5.667876E-02  7.6750E+00
6.058959E-02  6.4803E+00
6.477028E-02  5.4680E+00
6.923942E-02  4.6215E+00
7.026600E-02  4.4554E+00
7.134150E-02  4.2912E+00
7.162830E-02  4.2490E+00
7.205850E-02  6.0093E+00
7.313400E-02  5.8445E+00
7.401695E-02  5.7157E+00
7.912411E-02  5.0728E+00
8.114400E-02  4.8498E+00
8.238600E-02  4.7156E+00
8.271720E-02  4.6802E+00
8.321400E-02  5.2303E+00
8.445600E-02  5.0814E+00
8.458368E-02  5.0663E+00
8.467200E-02  5.0559E+00
8.596800E-02  4.9054E+00
8.631360E-02  4.8660E+00
8.683200E-02  5.2064E+00
8.812800E-02  5.0542E+00
9.041995E-02  4.7971E+00
9.665893E-02  4.2015E+00
1.033284E-01  3.7598E+00
1.056440E-01  3.6471E+00
1.072610E-01  3.5794E+00
1.076922E-01  3.5628E+00
1.083390E-01  3.6344E+00
1.099560E-01  3.5821E+00
1.104581E-01  3.5674E+00
1.180797E-01  3.4351E+00
1.262272E-01  3.4634E+00
1.349368E-01  3.6848E+00
1.442475E-01  4.1139E+00
1.542005E-01  4.7809E+00
1.648404E-01  5.7275E+00
1.762144E-01  6.9748E+00
1.883732E-01  8.5341E+00
2.013709E-01  1.0395E+01
2.152655E-01  1.2519E+01
2.301188E-01  1.4836E+01
2.459970E-01  1.7247E+01
2.629708E-01  1.9637E+01
2.811158E-01  2.1884E+01
3.005128E-01  2.3873E+01
3.212482E-01  2.5508E+01
3.272220E-01  2.5888E+01
3.322305E-01  2.6177E+01
3.335661E-01  2.6249E+01
3.355695E-01  2.6917E+01
3.405780E-01  2.7197E+01
3.434143E-01  2.7345E+01
3.449600E-01  2.7421E+01
3.502400E-01  2.7665E+01
3.516480E-01  2.7726E+01
3.537600E-01  2.8234E+01
3.590400E-01  2.8458E+01
3.671099E-01  2.8755E+01
3.924405E-01  2.9359E+01
4.195189E-01  2.9557E+01
4.484657E-01  2.9402E+01
4.794098E-01  2.8958E+01
5.0000000E-01  2.8559E+01
5.0250000E-01  2.8506E+01
5.0501250E-01  2.8452E+01
5.0753756E-01  2.8398E+01
5.1007525E-01  2.8342E+01
5.1262563E-01  2.8286E+01
5.1518875E-01  2.8228E+01
5.1776470E-01  2.8170E+01
5.2035352E-01  2.8111E+01
5.2295529E-01  2.8051E+01
5.2557007E-01  2.7990E+01
5.2819792E-01  2.7928E+01
5.3083891E-01  2.7866E+01
5.3349310E-01  2.7802E+01
5.3616057E-01  2.7738E+01
5.3884137E-01  2.7673E+01
5.4153558E-01  2.7608E+01
5.4424325E-01  2.7542E+01
5.4469646E-01  2.7531E+01
5.4610359E-01  2.9209E+01
5.4696447E-01  2.9188E+01
5.4969929E-01  2.9123E+01
5.5244779E-01  2.9058E+01
5.5521003E-01  2.8991E+01
5.5798608E-01  2.8924E+01
5.6077601E-01  2.8856E+01
5.6357989E-01  2.8788E+01
5.6639779E-01  2.8720E+01
5.6922978E-01  2.8650E+01
5.7207593E-01  2.8581E+01
5.7493630E-01  2.8510E+01
5.7781099E-01  2.8439E+01
5.8070004E-01  2.8368E+01
5.8360354E-01  2.8296E+01
5.8652156E-01  2.8224E+01
5.8945417E-01  2.8152E+01
5.9240144E-01  2.8079E+01
5.9536345E-01  2.8005E+01
5.9834026E-01  2.7931E+01
6.0133196E-01  2.7857E+01
6.0433862E-01  2.7783E+01
6.0736032E-01  2.7708E+01
6.1039712E-01  2.7632E+01
6.1344910E-01  2.7557E+01
6.1651635E-01  2.7481E+01
6.1959893E-01  2.7404E+01
6.2269693E-01  2.7328E+01
6.2581041E-01  2.7251E+01
6.2893946E-01  2.7174E+01
6.3208416E-01  2.7096E+01
6.3524458E-01  2.7018E+01
6.3842080E-01  2.6940E+01
6.4161291E-01  2.6862E+01
6.4278595E-01  2.6833E+01
6.4461406E-01  2.7171E+01
6.4482097E-01  2.7166E+01
6.4804508E-01  2.7089E+01
6.5128530E-01  2.7012E+01
6.5454173E-01  2.6934E+01
6.5781444E-01  2.6857E+01
6.6110351E-01  2.6779E+01
6.6440903E-01  2.6701E+01
6.6773107E-01  2.6623E+01
6.7106973E-01  2.6545E+01
6.7442508E-01  2.6466E+01
6.7779720E-01  2.6388E+01
6.8118619E-01  2.6309E+01
6.8459212E-01  2.6230E+01
6.8801508E-01  2.6151E+01
6.9145515E-01  2.6072E+01
6.9491243E-01  2.5993E+01
6.9838699E-01  2.5914E+01
7.0187893E-01  2.5834E+01
7.0538832E-01  2.5755E+01
7.0891526E-01  2.5675E+01
7.1245984E-01  2.5596E+01
7.1602214E-01  2.5516E+01
7.1960225E-01  2.5436E+01
7.2320026E-01  2.5356E+01
7.2681626E-01  2.5276E+01
7.3045034E-01  2.5197E+01
7.3410260E-01  2.5117E+01
7.3777311E-01  2.5036E+01
7.4146197E-01  2.4956E+01
7.4516928E-01  2.4876E+01
7.4889513E-01  2.4796E+01
7.5263961E-01  2.4716E+01
7.5640280E-01  2.4636E+01
7.5759354E-01  2.4611E+01
7.6000652E-01  2.5095E+01
7.6018482E-01  2.5092E+01
7.6398574E-01  2.5012E+01
7.6780567E-01  2.4933E+01
7.7164470E-01  2.4854E+01
7.7550292E-01  2.4775E+01
7.7938044E-01  2.4695E+01
7.8327734E-01  2.4616E+01
7.8719373E-01  2.4537E+01
7.9112969E-01  2.4458E+01
7.9508534E-01  2.4379E+01
7.9906077E-01  2.4300E+01
