    E              f1 
   keV           e atom-1
1.069000E-02  4.91074E+00
1.142761E-02  4.96917E+00
1.221612E-02  5.03413E+00
1.305903E-02  5.10636E+00
1.396010E-02  5.18659E+00
1.492335E-02  5.27545E+00
1.595306E-02  5.37345E+00
1.705382E-02  5.48100E+00
1.823053E-02  5.59831E+00
1.948844E-02  5.72538E+00
2.083314E-02  5.86196E+00
2.227063E-02  6.00743E+00
2.380730E-02  6.16072E+00
2.545001E-02  6.32013E+00
2.720606E-02  6.48301E+00
2.908327E-02  6.64508E+00
3.109002E-02  6.79915E+00
3.323523E-02  6.93175E+00
3.552846E-02  7.01362E+00
3.797993E-02  6.96365E+00
4.060054E-02  6.40477E+00
4.165000E-02  5.50583E+00
4.228750E-02  3.43782E+00
4.245750E-02  6.22173E-01
4.271250E-02  4.05524E+00
4.335000E-02  7.09375E+00
4.340198E-02  7.22680E+00
4.639671E-02  1.00687E+01
4.959809E-02  1.05444E+01
5.302035E-02  1.06760E+01
5.667876E-02  1.07528E+01
6.058959E-02  1.08150E+01
6.477028E-02  1.08599E+01
6.923942E-02  1.08662E+01
7.261800E-02  1.07857E+01
7.372950E-02  1.06519E+01
7.401695E-02  1.04986E+01
7.402590E-02  1.04869E+01
7.447050E-02  1.06552E+01
7.558200E-02  1.08074E+01
7.912411E-02  1.09676E+01
8.458368E-02  1.11006E+01
9.041995E-02  1.12096E+01
9.665893E-02  1.13121E+01
1.033284E-01  1.14160E+01
1.104581E-01  1.15266E+01
1.180797E-01  1.16482E+01
1.262272E-01  1.17840E+01
1.349368E-01  1.19285E+01
1.442475E-01  1.20966E+01
1.542005E-01  1.22801E+01
1.648404E-01  1.24764E+01
1.762144E-01  1.26825E+01
1.883732E-01  1.28920E+01
2.013709E-01  1.30964E+01
2.152655E-01  1.32879E+01
2.301188E-01  1.34608E+01
2.459970E-01  1.36061E+01
2.629708E-01  1.37191E+01
2.811158E-01  1.37945E+01
3.005128E-01  1.38264E+01
3.212482E-01  1.38083E+01
3.434143E-01  1.37312E+01
3.671099E-01  1.35829E+01
3.924405E-01  1.33444E+01
4.195189E-01  1.29845E+01
4.484657E-01  1.24471E+01
4.794098E-01  1.16190E+01
5.124891E-01  1.02203E+01
5.478508E-01  7.17813E+00
5.630100E-01  4.03264E+00
5.856525E-01  1.18309E+00
5.859900E-01  1.54437E+00
5.866185E-01  2.12272E+00
5.953740E-01  6.31539E+00
6.260625E-01  1.16720E+01
6.692609E-01  1.45819E+01
6.807080E-01  1.48744E+01
6.911270E-01  1.46210E+01
6.939054E-01  1.38694E+01
6.980730E-01  1.49312E+01
7.084920E-01  1.61104E+01
7.154399E-01  1.65908E+01
7.648052E-01  1.87137E+01
8.175768E-01  2.00955E+01
8.739896E-01  2.11147E+01
9.342948E-01  2.19000E+01
9.987612E-01  2.25466E+01
1.067676E+00  2.30148E+01
1.141345E+00  2.33470E+01
1.220098E+00  2.35870E+01
1.304285E+00  2.37474E+01
1.394281E+00  2.38492E+01
1.490486E+00  2.39066E+01
1.593329E+00  2.39301E+01
1.703269E+00  2.39280E+01
1.820795E+00  2.39099E+01
1.946430E+00  2.38752E+01
2.080733E+00  2.38307E+01
2.224304E+00  2.37813E+01
2.377781E+00  2.37276E+01
2.541848E+00  2.36639E+01
2.717235E+00  2.35939E+01
2.904724E+00  2.35212E+01
3.105150E+00  2.34551E+01
3.319406E+00  2.33672E+01
3.548445E+00  2.32625E+01
