   E              f1 
   keV           e atom-1
1.069000E-02  3.57659E+00
1.142761E-02  3.57599E+00
1.221612E-02  3.57095E+00
1.305903E-02  3.56836E+00
1.396010E-02  3.56968E+00
1.492335E-02  3.57685E+00
1.595306E-02  3.59151E+00
1.705382E-02  3.61476E+00
1.823053E-02  3.64791E+00
1.948844E-02  3.69236E+00
2.083314E-02  3.74958E+00
2.227063E-02  3.82103E+00
2.380730E-02  3.90818E+00
2.545001E-02  4.01245E+00
2.720606E-02  4.13521E+00
2.908327E-02  4.27778E+00
3.109002E-02  4.44144E+00
3.323523E-02  4.62739E+00
3.552846E-02  4.83686E+00
3.797993E-02  5.07105E+00
4.060054E-02  5.33124E+00
4.340198E-02  5.61884E+00
4.639671E-02  5.93534E+00
4.959809E-02  6.28228E+00
5.302035E-02  6.72188E+00
5.667876E-02  7.16643E+00
6.058959E-02  7.58919E+00
6.477028E-02  7.89984E+00
6.673800E-02  7.81083E+00
6.775950E-02  7.29248E+00
6.803190E-02  6.49266E+00
6.844050E-02  7.47679E+00
6.923942E-02  8.30426E+00
6.946200E-02  8.44458E+00
7.401695E-02  9.92898E+00
7.912411E-02  1.07677E+01
8.458368E-02  1.13913E+01
9.041995E-02  1.19094E+01
9.665893E-02  1.23487E+01
1.033284E-01  1.27032E+01
1.095640E-01  1.28584E+01
1.104581E-01  1.28304E+01
1.112410E-01  1.27438E+01
1.116882E-01  1.25364E+01
1.123590E-01  1.27940E+01
1.140360E-01  1.30669E+01
1.180797E-01  1.33934E+01
1.262272E-01  1.38459E+01
1.349368E-01  1.42329E+01
1.442475E-01  1.45869E+01
1.542005E-01  1.49196E+01
1.648404E-01  1.52378E+01
1.762144E-01  1.55459E+01
1.883732E-01  1.58466E+01
2.013709E-01  1.61413E+01
2.152655E-01  1.64384E+01
2.301188E-01  1.67200E+01
2.459970E-01  1.69927E+01
2.629708E-01  1.72537E+01
2.811158E-01  1.75008E+01
3.005128E-01  1.77292E+01
3.212482E-01  1.79330E+01
3.434143E-01  1.81062E+01
3.671099E-01  1.82471E+01
3.924405E-01  1.83508E+01
4.195189E-01  1.84135E+01
