    E              f2 
   keV           e atom-1
1.069000E-02  1.4343E+00
1.142761E-02  1.5448E+00
1.221612E-02  1.6670E+00
1.305903E-02  1.8017E+00
1.396010E-02  1.9500E+00
1.492335E-02  2.1125E+00
1.595306E-02  2.2884E+00
1.705382E-02  2.4778E+00
1.823053E-02  2.6808E+00
1.948844E-02  2.8974E+00
2.083314E-02  3.1272E+00
2.227063E-02  3.3699E+00
2.380730E-02  3.6250E+00
2.545001E-02  3.8920E+00
2.720606E-02  4.1699E+00
2.908327E-02  4.4581E+00
3.109002E-02  4.7557E+00
3.323523E-02  5.0616E+00
3.552846E-02  5.3751E+00
3.797993E-02  5.6954E+00
4.060054E-02  6.0216E+00
4.340198E-02  6.3532E+00
4.639671E-02  6.6897E+00
4.959809E-02  7.0309E+00
5.302035E-02  7.3516E+00
5.667876E-02  7.6429E+00
6.058959E-02  7.9225E+00
6.477028E-02  8.1889E+00
6.673800E-02  8.3039E+00
6.775950E-02  8.3483E+00
6.803190E-02  8.3411E+00
6.844050E-02  1.0005E+01
6.923942E-02  9.9197E+00
6.946200E-02  9.8964E+00
7.401695E-02  9.4522E+00
7.912411E-02  9.0420E+00
8.458368E-02  8.7086E+00
9.041995E-02  8.4128E+00
9.665893E-02  8.1362E+00
1.033284E-01  7.8715E+00
1.095640E-01  7.6469E+00
1.104581E-01  7.6164E+00
1.112410E-01  7.5899E+00
1.116882E-01  7.5749E+00
1.123590E-01  7.9994E+00
1.140360E-01  7.9514E+00
1.180797E-01  7.8409E+00
1.262272E-01  7.6390E+00
1.349368E-01  7.4472E+00
1.442475E-01  7.2647E+00
1.542005E-01  7.0911E+00
1.648404E-01  6.9250E+00
1.762144E-01  6.7644E+00
1.883732E-01  6.6064E+00
2.013709E-01  6.4480E+00
2.152655E-01  6.2862E+00
2.301188E-01  6.1183E+00
2.459970E-01  5.9420E+00
2.629708E-01  5.7560E+00
2.811158E-01  5.5592E+00
3.005128E-01  5.3486E+00
3.212482E-01  5.1254E+00
3.434143E-01  4.8924E+00
3.671099E-01  4.6526E+00
3.924405E-01  4.4092E+00
4.195189E-01  4.1650E+00
4.484657E-01  3.9230E+00
4.794098E-01  3.6854E+00
5.124891E-01  3.4539E+00
5.478508E-01  3.2304E+00
5.856525E-01  3.0161E+00
6.260625E-01  2.8117E+00
6.692609E-01  2.6180E+00
7.154399E-01  2.4352E+00
7.648052E-01  2.2632E+00
8.175768E-01  2.1021E+00
8.376060E-01  2.0462E+00
8.504265E-01  2.0119E+00
8.544620E-01  2.0013E+00
8.589735E-01  1.1918E+01
8.675405E-01  1.1735E+01
8.710281E-01  1.1662E+01
8.717940E-01  1.1646E+01
8.739896E-01  1.6508E+01
8.762595E-01  1.6442E+01
8.893380E-01  1.6066E+01
9.342948E-01  1.4877E+01
9.879380E-01  1.3649E+01
9.987612E-01  1.3424E+01
1.003060E+00  1.3334E+01
1.007092E+00  1.3251E+01
1.013141E+00  1.4933E+01
1.028262E+00  1.4615E+01
1.067676E+00  1.3841E+01
1.141345E+00  1.2599E+01
1.220098E+00  1.1485E+01
1.304285E+00  1.0475E+01
1.394281E+00  9.5264E+00
1.490486E+00  8.6323E+00
1.593329E+00  7.7753E+00
1.703269E+00  7.0012E+00
1.820795E+00  6.3039E+00
1.946430E+00  5.6777E+00
2.080733E+00  5.1095E+00
2.224304E+00  4.5920E+00
2.377781E+00  4.1285E+00
2.541848E+00  3.7138E+00
2.717235E+00  3.3430E+00
2.904724E+00  3.0114E+00
3.105150E+00  2.6981E+00
3.319406E+00  2.4055E+00
3.548445E+00  2.1392E+00
3.793288E+00  1.8970E+00
4.055024E+00  1.6844E+00
4.334821E+00  1.4976E+00
4.633924E+00  1.3269E+00
4.953664E+00  1.1761E+00
5.295467E+00  1.0433E+00
5.660855E+00  9.2645E-01
6.051453E+00  8.2342E-01
6.469004E+00  7.3254E-01
6.915365E+00  6.5229E-01
7.392525E+00  5.8138E-01
7.902609E+00  5.1866E-01
8.166144E+00  4.9051E-01
8.291136E+00  4.7804E-01
8.324467E+00  4.7480E-01
8.374464E+00  3.8783E+00
8.447890E+00  3.8127E+00
8.499456E+00  3.7677E+00
9.030794E+00  3.4017E+00
9.653919E+00  3.0709E+00
1.032004E+01  2.7492E+00
1.103212E+01  2.4485E+00
1.179334E+01  2.1838E+00
1.260708E+01  1.9478E+00
1.347697E+01  1.7376E+00
1.440688E+01  1.5502E+00
1.540095E+01  1.3831E+00
1.646362E+01  1.2341E+00
1.759961E+01  1.0942E+00
1.881398E+01  9.6902E-01
2.011215E+01  8.5820E-01
2.149988E+01  7.6013E-01
2.298338E+01  6.7282E-01
2.456923E+01  5.9559E-01
2.626450E+01  5.2725E-01
2.807676E+01  4.6461E-01
3.001405E+01  4.0881E-01
3.208502E+01  3.5972E-01
3.429889E+01  3.1655E-01
3.666551E+01  2.7821E-01
3.919543E+01  2.4347E-01
4.189992E+01  2.1307E-01
4.479101E+01  1.8647E-01
4.788159E+01  1.6320E-01
5.118542E+01  1.4284E-01
5.471721E+01  1.2502E-01
5.849270E+01  1.0943E-01
6.252870E+01  9.5778E-02
6.684318E+01  8.3836E-02
7.145536E+01  7.3385E-02
7.638578E+01  6.4239E-02
8.165640E+01  5.6155E-02
8.729069E+01  4.8934E-02
9.331374E+01  4.2642E-02
9.975239E+01  3.7161E-02
1.066353E+02  3.2385E-02
1.139931E+02  2.8224E-02
1.218587E+02  2.4598E-02
1.302669E+02  2.1438E-02
1.392553E+02  1.8685E-02
1.488640E+02  1.6286E-02
1.591356E+02  1.4196E-02
1.701159E+02  1.2374E-02
1.818539E+02  1.0786E-02
1.944018E+02  9.4020E-03
2.078156E+02  8.1960E-03
2.221548E+02  7.1448E-03
2.374835E+02  6.2286E-03
2.538699E+02  5.4300E-03
2.713869E+02  4.7339E-03
2.901126E+02  4.1272E-03
3.101304E+02  3.5983E-03
3.315294E+02  3.1373E-03
3.544049E+02  2.7354E-03
3.788588E+02  2.3850E-03
4.050001E+02  2.0796E-03
4.329451E+02  1.8133E-03
