  E              f1 
   keV           e atom-1
6.156007E-03  1.1551E+00
6.247887E-03  1.1481E+00
7.291108E-03  1.1299E+00
7.402706E-03  1.1443E+00
7.432466E-03  1.1487E+00
7.477105E-03  2.1018E+00
7.588704E-03  2.1026E+00
1.069000E-02  3.6800E+00
1.142761E-02  4.4201E+00
1.221612E-02  5.3113E+00
1.305903E-02  6.3469E+00
1.396010E-02  7.5068E+00
1.492335E-02  8.7543E+00
1.595306E-02  1.0035E+01
1.705382E-02  1.1280E+01
1.823053E-02  1.2411E+01
1.948844E-02  1.3349E+01
2.083314E-02  1.4024E+01
2.227063E-02  1.4387E+01
2.380730E-02  1.4416E+01
2.545001E-02  1.4117E+01
2.720606E-02  1.3517E+01
2.908327E-02  1.2675E+01
3.109002E-02  1.1661E+01
3.323523E-02  1.0543E+01
3.552846E-02  9.3903E+00
3.797993E-02  8.2613E+00
4.060054E-02  7.1971E+00
4.340198E-02  6.2238E+00
4.639671E-02  5.3545E+00
4.959809E-02  4.5925E+00
5.066600E-02  4.3714E+00
5.144150E-02  4.2200E+00
5.164830E-02  4.1809E+00
5.195850E-02  8.3732E+00
5.273400E-02  8.0731E+00
5.302035E-02  7.9662E+00
5.667876E-02  6.7610E+00
6.058959E-02  5.7339E+00
6.399400E-02  5.0073E+00
6.477028E-02  4.8606E+00
6.497350E-02  4.8232E+00
6.523470E-02  4.7758E+00
6.562650E-02  6.6487E+00
6.660600E-02  6.4648E+00
6.923942E-02  6.0159E+00
6.967800E-02  5.9470E+00
7.074450E-02  5.7860E+00
7.102890E-02  5.7446E+00
7.145550E-02  6.3025E+00
7.252200E-02  6.1304E+00
7.281400E-02  6.0840E+00
7.392850E-02  5.9091E+00
7.401695E-02  5.8954E+00
7.422570E-02  5.8631E+00
7.467150E-02  6.2059E+00
7.578600E-02  6.0247E+00
7.912411E-02  5.5118E+00
8.458368E-02  4.8128E+00
9.041995E-02  4.2658E+00
9.665893E-02  3.8676E+00
9.966600E-02  3.7348E+00
1.011915E-01  3.6809E+00
1.015983E-01  3.6680E+00
1.022085E-01  3.7376E+00
1.033284E-01  3.7087E+00
1.037340E-01  3.6993E+00
1.104581E-01  3.6250E+00
1.180797E-01  3.7183E+00
1.262272E-01  4.0106E+00
1.349368E-01  4.5188E+00
1.442475E-01  5.2758E+00
1.542005E-01  6.3070E+00
1.648404E-01  7.6233E+00
1.762144E-01  9.2248E+00
1.883732E-01  1.1089E+01
2.013709E-01  1.3170E+01
2.152655E-01  1.5392E+01
2.301188E-01  1.7665E+01
2.459970E-01  1.9883E+01
2.629708E-01  2.1941E+01
2.811158E-01  2.3742E+01
3.005128E-01  2.5194E+01
3.070340E-01  2.5567E+01
3.117335E-01  2.5802E+01
3.129867E-01  2.5860E+01
3.148665E-01  2.6509E+01
3.195660E-01  2.6733E+01
3.212482E-01  2.6807E+01
3.241840E-01  2.6930E+01
3.291460E-01  2.7116E+01
3.304692E-01  2.7161E+01
3.324540E-01  2.7655E+01
3.374160E-01  2.7824E+01
3.434143E-01  2.8001E+01
3.671099E-01  2.8433E+01
3.924405E-01  2.8517E+01
4.195189E-01  2.8305E+01
4.484657E-01  2.7854E+01
4.794098E-01  2.7220E+01
5.0000000E-01  2.6748E+01
5.0250000E-01  2.6689E+01
5.0501250E-01  2.6629E+01
5.0753756E-01  2.6569E+01
5.1007525E-01  2.6508E+01
5.1262563E-01  2.6447E+01
5.1518875E-01  2.6385E+01
5.1776470E-01  2.6322E+01
5.1833567E-01  2.6308E+01
5.1966431E-01  2.7935E+01
5.2035352E-01  2.7919E+01
5.2295529E-01  2.7859E+01
5.2557007E-01  2.7797E+01
5.2819792E-01  2.7736E+01
5.3083891E-01  2.7674E+01
5.3349310E-01  2.7611E+01
5.3616057E-01  2.7548E+01
5.3884137E-01  2.7485E+01
5.4153558E-01  2.7421E+01
5.4424325E-01  2.7357E+01
5.4696447E-01  2.7292E+01
5.4969929E-01  2.7227E+01
5.5244779E-01  2.7162E+01
5.5521003E-01  2.7096E+01
5.5798608E-01  2.7030E+01
5.6077601E-01  2.6964E+01
5.6357989E-01  2.6897E+01
5.6639779E-01  2.6830E+01
5.6922978E-01  2.6763E+01
5.7207593E-01  2.6696E+01
5.7493630E-01  2.6628E+01
5.7781099E-01  2.6560E+01
5.8070004E-01  2.6492E+01
5.8360354E-01  2.6423E+01
5.8652156E-01  2.6354E+01
5.8945417E-01  2.6285E+01
5.9240144E-01  2.6216E+01
5.9536345E-01  2.6146E+01
5.9834026E-01  2.6076E+01
6.0133196E-01  2.6006E+01
6.0433862E-01  2.5936E+01
6.0736032E-01  2.5865E+01
6.0832884E-01  2.5843E+01
6.1007116E-01  2.6181E+01
6.1039712E-01  2.6173E+01
6.1344910E-01  2.6104E+01
6.1651635E-01  2.6035E+01
6.1959893E-01  2.5965E+01
6.2269693E-01  2.5896E+01
6.2581041E-01  2.5826E+01
6.2893946E-01  2.5756E+01
6.3208416E-01  2.5685E+01
6.3524458E-01  2.5615E+01
6.3842080E-01  2.5545E+01
6.4161291E-01  2.5474E+01
6.4482097E-01  2.5403E+01
6.4804508E-01  2.5333E+01
6.5128530E-01  2.5262E+01
6.5454173E-01  2.5190E+01
6.5781444E-01  2.5119E+01
6.6110351E-01  2.5048E+01
6.6440903E-01  2.4977E+01
6.6773107E-01  2.4905E+01
6.7106973E-01  2.4833E+01
6.7442508E-01  2.4762E+01
6.7779720E-01  2.4690E+01
6.8118619E-01  2.4618E+01
6.8459212E-01  2.4546E+01
6.8801508E-01  2.4474E+01
6.9145515E-01  2.4402E+01
6.9491243E-01  2.4330E+01
6.9838699E-01  2.4257E+01
7.0187893E-01  2.4185E+01
