  E              f1 
   keV           e atom-1
1.069000E-02  1.89417E+00
1.142761E-02  2.09662E+00
1.221612E-02  2.32705E+00
1.305903E-02  2.58575E+00
1.396010E-02  2.87263E+00
1.492335E-02  3.18714E+00
1.595306E-02  3.52819E+00
1.705382E-02  3.89415E+00
1.823053E-02  4.28288E+00
1.948844E-02  4.69173E+00
2.083314E-02  5.11762E+00
2.227063E-02  5.55710E+00
2.380730E-02  6.00634E+00
2.545001E-02  6.46121E+00
2.720606E-02  6.91721E+00
2.908327E-02  7.36933E+00
3.109002E-02  7.81174E+00
3.323523E-02  8.23697E+00
3.552846E-02  8.63416E+00
3.797993E-02  8.98459E+00
4.060054E-02  9.24829E+00
4.340198E-02  9.31015E+00
4.639671E-02  8.53632E+00
4.694200E-02  8.00116E+00
4.766050E-02  5.95081E+00
4.785210E-02  3.21176E+00
4.813950E-02  6.39978E+00
4.885800E-02  9.28778E+00
4.959809E-02  1.05693E+01
5.302035E-02  1.29851E+01
5.667876E-02  1.38997E+01
6.058959E-02  1.44010E+01
6.477028E-02  1.47360E+01
6.923942E-02  1.49838E+01
7.401695E-02  1.51694E+01
7.912411E-02  1.52714E+01
7.938000E-02  1.52708E+01
8.059500E-02  1.52279E+01
8.091900E-02  1.51480E+01
8.140500E-02  1.52468E+01
8.262000E-02  1.53518E+01
8.458368E-02  1.54415E+01
9.041995E-02  1.56159E+01
9.665893E-02  1.57489E+01
1.033284E-01  1.58551E+01
1.104581E-01  1.59375E+01
1.180797E-01  1.59967E+01
1.262272E-01  1.60318E+01
1.349368E-01  1.60413E+01
1.442475E-01  1.60170E+01
1.542005E-01  1.59658E+01
1.648404E-01  1.58769E+01
1.762144E-01  1.57426E+01
1.883732E-01  1.55526E+01
2.013709E-01  1.52919E+01
2.152655E-01  1.49381E+01
2.301188E-01  1.44564E+01
2.459970E-01  1.37917E+01
2.629708E-01  1.28315E+01
2.811158E-01  1.13237E+01
3.005128E-01  8.15945E+00
3.008600E-01  8.05768E+00
3.054660E-01  5.95237E+00
3.066930E-01  4.17242E+00
3.085350E-01  5.06359E+00
3.101415E-01  5.04698E+00
3.113883E-01  4.14952E+00
3.132585E-01  5.23483E+00
3.179340E-01  6.10712E+00
3.212482E-01  6.30213E+00
3.434143E-01  6.53387E+00
3.671099E-01  7.46300E+00
3.924405E-01  9.35507E+00
4.195189E-01  1.19079E+01
4.484657E-01  1.46475E+01
4.794098E-01  1.67922E+01
4.862760E-01  1.69162E+01
4.937190E-01  1.62427E+01
4.957038E-01  1.48958E+01
4.986810E-01  1.66220E+01
5.061240E-01  1.84232E+01
5.105800E-01  1.90150E+01
5.124891E-01  1.92134E+01
5.183950E-01  1.95194E+01
5.204790E-01  1.91250E+01
5.236050E-01  2.01348E+01
5.314200E-01  2.15333E+01
5.478508E-01  2.34547E+01
5.856525E-01  2.65544E+01
6.145580E-01  2.80923E+01
6.239645E-01  2.81885E+01
6.260625E-01  2.79470E+01
6.264729E-01  2.78066E+01
6.302355E-01  2.85331E+01
6.396420E-01  2.94719E+01
6.692609E-01  3.12211E+01
7.154399E-01  3.31285E+01
7.648052E-01  3.46156E+01
8.175768E-01  3.58079E+01
8.739896E-01  3.67848E+01
9.342948E-01  3.75849E+01
9.987612E-01  3.82442E+01
1.067676E+00  3.87727E+01
1.141345E+00  3.91539E+01
1.220098E+00  3.94325E+01
1.304285E+00  3.96085E+01
1.394281E+00  3.96637E+01
1.490486E+00  3.96411E+01
1.593329E+00  3.95546E+01
1.703269E+00  3.94114E+01
1.820795E+00  3.92194E+01
1.946430E+00  3.89783E+01
2.080733E+00  3.86746E+01
2.224304E+00  3.82656E+01
2.377781E+00  3.77071E+01
2.541848E+00  3.69090E+01
2.717235E+00  3.56223E+01
2.904724E+00  3.27378E+01
2.943724E+00  3.14079E+01
2.988781E+00  2.78447E+01
3.000796E+00  2.38203E+01
3.018819E+00  2.76279E+01
3.063876E+00  3.07009E+01
3.083178E+00  3.11221E+01
3.105150E+00  3.12624E+01
3.130370E+00  3.07066E+01
3.142954E+00  2.89990E+01
3.161831E+00  3.12954E+01
3.209022E+00  3.37259E+01
3.319406E+00  3.59162E+01
3.343662E+00  3.61407E+01
3.394841E+00  3.60599E+01
3.408488E+00  3.52798E+01
3.428960E+00  3.64699E+01
3.480138E+00  3.78650E+01
3.548445E+00  3.89158E+01
3.793288E+00  4.11094E+01
4.055024E+00  4.24388E+01
4.334821E+00  4.33289E+01
4.633924E+00  4.39500E+01
4.953664E+00  4.43826E+01
5.295467E+00  4.46862E+01
5.660855E+00  4.48983E+01
6.051453E+00  4.51300E+01
6.469004E+00  4.52610E+01
6.915365E+00  4.53329E+01
7.392525E+00  4.53324E+01
7.902609E+00  4.53055E+01
8.447890E+00  4.52629E+01
9.030794E+00  4.52202E+01
9.653919E+00  4.51573E+01
1.032004E+01  4.50732E+01
1.103212E+01  4.49788E+01
1.179334E+01  4.48783E+01
1.260708E+01  4.47736E+01
1.347697E+01  4.46648E+01
1.440688E+01  4.45483E+01
1.540095E+01  4.44213E+01
1.646362E+01  4.42772E+01
1.759961E+01  4.41089E+01
1.881398E+01  4.39001E+01
2.011215E+01  4.36125E+01
2.149988E+01  4.31259E+01
2.275550E+01  4.19842E+01
2.298338E+01  4.13616E+01
2.310380E+01  4.06879E+01
2.319668E+01  3.91279E+01
2.333600E+01  4.07147E+01
2.368430E+01  4.21495E+01
2.456923E+01  4.32772E+01
2.626450E+01  4.41227E+01
2.807676E+01  4.45784E+01
3.001405E+01  4.48642E+01
3.208502E+01  4.50536E+01
3.429889E+01  4.51785E+01
3.666551E+01  4.52617E+01
3.919543E+01  4.53162E+01
4.189992E+01  4.53506E+01
4.479101E+01  4.53709E+01
4.788159E+01  4.54151E+01
5.118542E+01  4.54136E+01
5.471721E+01  4.54044E+01
5.849270E+01  4.53903E+01
6.252870E+01  4.53732E+01
6.684318E+01  4.53543E+01
7.145536E+01  4.53345E+01
7.638578E+01  4.53146E+01
8.165640E+01  4.52951E+01
8.729069E+01  4.52749E+01
9.331374E+01  4.52549E+01
9.975239E+01  4.52356E+01
1.066353E+02  4.52171E+01
1.139931E+02  4.51994E+01
1.218587E+02  4.51827E+01
1.302669E+02  4.51670E+01
1.392553E+02  4.51524E+01
1.488640E+02  4.51388E+01
1.591356E+02  4.51262E+01
1.701159E+02  4.51146E+01
1.818539E+02  4.51039E+01
1.944018E+02  4.50942E+01
2.078156E+02  4.50852E+01
2.221548E+02  4.50771E+01
2.374835E+02  4.50696E+01
2.538699E+02  4.50628E+01
2.713869E+02  4.50566E+01
2.901126E+02  4.50510E+01
3.101304E+02  4.50460E+01
3.315294E+02  4.50414E+01
