E              f1 
   keV           e atom-1
1.069000E-02  4.8055E+00
1.142761E-02  5.1028E+00
1.221612E-02  5.4019E+00
1.305903E-02  5.6998E+00
1.396010E-02  5.9931E+00
1.492335E-02  6.2786E+00
1.595306E-02  6.5531E+00
1.705382E-02  6.8134E+00
1.823053E-02  7.0566E+00
1.948844E-02  7.2804E+00
2.083314E-02  7.4824E+00
2.227063E-02  7.6611E+00
2.380730E-02  7.8152E+00
2.545001E-02  7.9443E+00
2.720606E-02  8.0481E+00
2.908327E-02  8.1270E+00
3.109002E-02  8.1819E+00
3.323523E-02  8.2140E+00
3.552846E-02  8.2249E+00
3.797993E-02  8.2164E+00
4.060054E-02  8.1907E+00
4.340198E-02  8.1499E+00
4.639671E-02  8.0962E+00
4.694200E-02  8.0857E+00
4.766050E-02  8.0228E+00
4.785210E-02  8.0060E+00
4.813950E-02  1.3516E+01
4.885800E-02  1.3044E+01
4.959809E-02  1.2595E+01
5.302035E-02  1.0918E+01
5.667876E-02  9.7195E+00
6.058959E-02  8.8533E+00
6.477028E-02  8.1819E+00
6.923942E-02  7.6317E+00
7.401695E-02  7.1613E+00
7.912411E-02  6.7471E+00
7.938000E-02  6.7282E+00
8.059500E-02  6.6405E+00
8.091900E-02  6.6177E+00
8.140500E-02  6.7567E+00
8.262000E-02  6.6791E+00
8.458368E-02  6.5600E+00
9.041995E-02  6.2449E+00
9.665893E-02  5.9577E+00
1.033284E-01  5.6935E+00
1.104581E-01  5.4491E+00
1.180797E-01  5.2222E+00
1.262272E-01  5.0111E+00
1.349368E-01  4.8142E+00
1.442475E-01  4.6301E+00
1.542005E-01  4.4576E+00
1.648404E-01  4.2954E+00
1.762144E-01  4.1424E+00
1.883732E-01  3.9976E+00
2.013709E-01  3.8596E+00
2.152655E-01  3.7268E+00
2.301188E-01  3.5984E+00
2.459970E-01  3.4736E+00
2.629708E-01  3.3517E+00
2.811158E-01  3.2323E+00
3.005128E-01  3.1149E+00
3.008600E-01  3.1128E+00
3.054660E-01  3.0864E+00
3.066930E-01  3.0794E+00
3.085350E-01  6.0229E+00
3.101415E-01  6.1078E+00
3.113883E-01  6.1755E+00
3.132585E-01  8.3433E+00
3.179340E-01  8.8068E+00
3.212482E-01  9.1580E+00
3.434143E-01  1.2030E+01
3.671099E-01  1.5371E+01
3.924405E-01  1.8361E+01
4.195189E-01  2.0619E+01
4.484657E-01  2.1977E+01
4.794098E-01  2.2452E+01
4.862760E-01  2.2452E+01
4.937190E-01  2.2416E+01
4.957038E-01  2.2401E+01
4.986810E-01  2.5308E+01
5.061240E-01  2.5227E+01
5.105800E-01  2.5166E+01
5.124891E-01  2.5137E+01
5.183950E-01  2.5037E+01
5.204790E-01  2.4998E+01
5.236050E-01  2.6203E+01
5.314200E-01  2.6042E+01
5.478508E-01  2.5646E+01
5.856525E-01  2.4527E+01
6.145580E-01  2.3568E+01
6.239645E-01  2.3249E+01
6.260625E-01  2.3177E+01
6.264729E-01  2.3163E+01
6.302355E-01  2.4053E+01
6.396420E-01  2.3731E+01
6.692609E-01  2.2730E+01
7.154399E-01  2.1237E+01
7.648052E-01  1.9768E+01
8.175768E-01  1.8361E+01
8.739896E-01  1.7016E+01
9.342948E-01  1.5729E+01
9.987612E-01  1.4525E+01
1.067676E+00  1.3315E+01
1.141345E+00  1.2186E+01
1.220098E+00  1.1140E+01
1.304285E+00  1.0098E+01
1.394281E+00  9.1498E+00
1.490486E+00  8.3038E+00
1.593329E+00  7.5479E+00
1.703269E+00  6.8721E+00
1.820795E+00  6.2674E+00
1.946430E+00  5.7258E+00
2.080733E+00  5.2173E+00
2.224304E+00  4.7367E+00
2.377781E+00  4.3058E+00
2.541848E+00  3.9180E+00
2.717235E+00  3.5657E+00
2.904724E+00  3.2488E+00
2.943724E+00  3.1893E+00
2.988781E+00  3.1231E+00
3.000796E+00  3.1056E+00
3.018819E+00  1.0824E+01
3.063876E+00  1.0604E+01
3.083178E+00  1.0512E+01
3.105150E+00  1.0409E+01
3.130370E+00  1.0293E+01
3.142954E+00  1.0236E+01
3.161831E+00  1.3993E+01
3.209022E+00  1.3691E+01
3.319406E+00  1.3008E+01
3.343662E+00  1.2857E+01
3.394841E+00  1.2545E+01
3.408488E+00  1.2463E+01
3.428960E+00  1.4209E+01
3.480138E+00  1.3890E+01
3.548445E+00  1.3477E+01
3.793288E+00  1.2138E+01
4.055024E+00  1.0918E+01
4.334821E+00  9.8125E+00
4.633924E+00  8.8157E+00
4.953664E+00  7.9204E+00
5.295467E+00  7.1193E+00
5.660855E+00  6.4020E+00
6.051453E+00  5.7551E+00
6.469004E+00  5.1523E+00
6.915365E+00  4.6094E+00
7.392525E+00  4.1209E+00
7.902609E+00  3.6875E+00
8.447890E+00  3.3029E+00
9.030794E+00  2.9540E+00
9.653919E+00  2.6207E+00
1.032004E+01  2.3256E+00
1.103212E+01  2.0656E+00
1.179334E+01  1.8364E+00
1.260708E+01  1.6333E+00
1.347697E+01  1.4515E+00
1.440688E+01  1.2873E+00
1.540095E+01  1.1391E+00
1.646362E+01  1.0071E+00
1.759961E+01  8.9111E-01
1.881398E+01  7.8923E-01
2.011215E+01  6.9962E-01
2.149988E+01  6.2075E-01
2.275550E+01  5.6105E-01
2.298338E+01  5.5121E-01
2.310380E+01  5.4612E-01
2.319668E+01  5.4225E-01
2.333600E+01  3.6109E+00
2.368430E+01  3.5161E+00
2.456923E+01  3.2962E+00
2.626450E+01  2.9629E+00
2.807676E+01  2.6567E+00
3.001405E+01  2.3762E+00
3.208502E+01  2.1169E+00
3.429889E+01  1.8854E+00
