    E              f2 
   keV           e atom-1
5.108469E-03  1.8433E+00
5.184715E-03  1.9476E+00
1.069000E-02  4.9472E-01
1.113003E-02  4.0981E-01
1.130038E-02  3.8216E-01
1.134581E-02  3.7522E-01
1.141396E-02  3.7687E-01
1.142761E-02  3.7492E-01
1.158431E-02  3.5360E-01
1.221612E-02  2.8398E-01
1.305903E-02  2.2096E-01
1.396010E-02  1.7788E-01
1.492335E-02  1.4900E-01
1.595306E-02  1.3038E-01
1.705382E-02  1.1936E-01
1.823053E-02  1.1415E-01
1.948844E-02  1.1354E-01
2.083314E-02  1.1673E-01
2.227063E-02  1.2324E-01
2.380730E-02  1.3259E-01
2.545001E-02  1.4434E-01
2.720606E-02  1.5811E-01
2.908327E-02  1.7351E-01
3.109002E-02  1.9016E-01
3.323523E-02  2.0768E-01
3.552846E-02  2.2566E-01
3.797993E-02  2.4374E-01
4.060054E-02  2.6154E-01
4.340198E-02  2.7876E-01
4.639671E-02  2.9508E-01
4.959809E-02  3.1003E-01
5.302035E-02  3.2339E-01
5.667876E-02  3.3506E-01
6.058959E-02  3.4502E-01
6.477028E-02  3.5326E-01
6.923942E-02  3.5981E-01
7.401695E-02  3.6472E-01
7.912411E-02  3.6805E-01
8.458368E-02  3.6987E-01
9.041995E-02  3.7026E-01
9.665893E-02  3.6804E-01
9.721600E-02  3.6732E-01
9.870400E-02  3.6535E-01
9.910080E-02  3.6481E-01
9.969600E-02  7.2061E+00
1.011840E-01  7.3507E+00
1.033284E-01  7.5606E+00
1.104581E-01  8.2681E+00
1.180797E-01  8.8713E+00
1.262272E-01  9.2705E+00
1.349368E-01  9.4680E+00
1.442475E-01  9.4800E+00
1.457260E-01  9.4670E+00
1.479565E-01  9.4409E+00
1.485513E-01  9.4327E+00
1.494435E-01  1.0408E+01
1.516740E-01  1.0379E+01
1.542005E-01  1.0338E+01
1.648404E-01  1.0098E+01
1.762144E-01  9.7527E+00
1.883732E-01  9.3252E+00
2.013709E-01  8.8416E+00
2.152655E-01  8.3235E+00
2.301188E-01  7.7878E+00
2.459970E-01  7.2498E+00
2.629708E-01  6.7202E+00
2.811158E-01  6.2068E+00
3.005128E-01  5.7150E+00
3.212482E-01  5.2483E+00
3.434143E-01  4.8086E+00
3.671099E-01  4.3969E+00
3.924405E-01  4.0133E+00
4.195189E-01  3.6568E+00
4.484657E-01  3.3258E+00
4.794098E-01  3.0200E+00
5.124891E-01  2.7385E+00
5.478508E-01  2.4802E+00
5.856525E-01  2.2438E+00
6.260625E-01  2.0280E+00
6.692609E-01  1.8311E+00
7.154399E-01  1.6519E+00
7.648052E-01  1.4894E+00
8.175768E-01  1.3422E+00
8.739896E-01  1.2092E+00
9.342948E-01  1.0893E+00
9.987612E-01  9.8137E-01
1.067676E+00  8.7137E-01
1.141345E+00  7.7420E-01
1.220098E+00  6.8851E-01
1.304285E+00  6.1287E-01
1.394281E+00  5.4605E-01
1.490486E+00  4.8696E-01
1.593329E+00  4.3467E-01
1.703269E+00  3.8835E-01
1.802122E+00  3.5330E-01
1.820795E+00  3.4728E-01
1.829705E+00  3.4446E-01
1.837061E+00  3.4216E-01
1.848094E+00  4.0819E+00
1.875678E+00  4.0304E+00
1.946430E+00  3.8896E+00
2.080733E+00  3.5283E+00
2.224304E+00  3.1614E+00
2.377781E+00  2.8224E+00
2.541848E+00  2.5325E+00
2.717235E+00  2.2762E+00
2.904724E+00  2.0459E+00
3.105150E+00  1.8323E+00
3.319406E+00  1.6363E+00
3.548445E+00  1.4614E+00
3.793288E+00  1.2999E+00
4.055024E+00  1.1509E+00
4.334821E+00  1.0190E+00
4.633924E+00  9.0223E-01
4.953664E+00  7.9890E-01
5.295467E+00  7.0743E-01
5.660855E+00  6.2644E-01
6.051453E+00  5.5475E-01
6.469004E+00  4.9128E-01
